"","time","BTC","ETH","XMR","ETC","ZEC","DASH","LTC","DOGE","NXT","BTCVOLFROM","BTCVOLTO","ETHVOLTO","ETHVOLFROM"
"293",1969-12-31 19:00:00,3356.61,260.09,58.1,18.8,241.58,251.78,57.99,0.002316,0.138,18.88,63449.12,34450.31,133.16
"294",1969-12-31 19:00:00,3340.67,260.21,57.89,18.68,239.99,251.39,55,0.002305,0.1352,29.96,99017.6,39380.48,151.88
"295",1969-12-31 19:00:00,3348.69,261.11,57.43,18.82,241.41,251.32,54.5,0.002311,0.1355,42.01,138607.36,17734.29,68.14
"296",1969-12-31 19:00:00,3373.39,260,57.99,18.82,242.85,252.19,54.33,0.002328,0.1359,23.29,76979.42,61359.26,236.05
"297",1969-12-31 19:00:00,3456.45,265.8,58.69,18.94,244.96,253.15,55.55,0.00235,0.1386,58.59,199026.17,64323.87,244.33
"298",1969-12-31 19:00:00,3487.36,266,59.81,19,244.43,254.05,55.4,0.002406,0.1409,69.05,237567.51,38907.09,146.43
"299",1969-12-31 19:00:00,3461.44,267.45,59.02,18.81,242.2,251.34,55.5,0.002388,0.1396,91.23,314998.22,4255.59,15.86
"300",1969-12-31 19:00:00,3511.9,261.94,59.21,18.86,243.97,253.77,55.98,0.002388,0.1391,62.02,216188.2,31927.48,122.13
"301",1969-12-31 19:00:00,3468.99,260.64,58.04,18.66,237.35,251.85,54.75,0.002324,0.1345,25.65,89682.18,85808.76,327.15
"302",1969-12-31 19:00:00,3484.82,262.92,58.06,18.75,238.71,251.12,55.85,0.002335,0.1353,17.8,61325.97,12928.34,49.45
"303",1969-12-31 19:00:00,3469.94,260.5,57.36,18.66,237.66,253.65,55.99,0.002325,0.134,19.56,68118.95,22805.62,87.05
"304",1969-12-31 19:00:00,3450.17,258.05,57.2,18.54,235.61,251.17,56.07,0.002312,0.133,19.71,68083.78,21045.47,80.98
"305",1969-12-31 19:00:00,3462.59,262.68,57.17,18.55,236.84,251.56,54.91,0.00232,0.1318,7.14,25126.37,2895.65,11.02
"306",1969-12-31 19:00:00,3488.2,261.54,57.63,18.68,237.16,252.79,55.2,0.002337,0.1334,7.53,26404.18,1698.94,6.49
"307",1969-12-31 19:00:00,3511.02,255.89,58.04,18.33,234.43,250.34,54.25,0.002317,0.1335,10.75,37956.08,34048.45,132.22
"308",1969-12-31 19:00:00,3577.51,259.63,57.6,18.48,234.36,250.1,54,0.00229,0.1363,23.55,83850.66,22723.45,89.06
"309",1969-12-31 19:00:00,3572.14,259.35,57.33,18.27,233.94,249.26,54,0.00225,0.1335,10.84,39087.02,3967.6,15.34
